# step Fx Fy Fz Vx Vy Vz Dx Dy Dz 
0 0 0 0 0 0 -1e-07 0 0 -1.18799e-12 
1 0 0 0 0 0 -1e-07 0 0 -2.37599e-12 
2 0 0 0 0 0 -1e-07 0 0 -3.56398e-12 
3 0 0 0 0 0 -1e-07 0 0 -4.75198e-12 
4 0 0 0 0 0 -1e-07 0 0 -5.93997e-12 
5 0 0 0 0 0 -1e-07 0 0 -7.12796e-12 
6 0 0 0 0 0 -1e-07 0 0 -8.31596e-12 
7 0 0 0 0 0 -1e-07 0 0 -9.50395e-12 
8 0 0 0 0 0 -1e-07 0 0 -1.06919e-11 
9 0 0 0 0 0 -1e-07 0 0 -1.18799e-11 
10 0 0 0 0 0 -1e-07 0 0 -1.30679e-11 
11 0 0 0 0 0 -1e-07 0 0 -1.42559e-11 
12 0 0 0 0 0 -1e-07 0 0 -1.54439e-11 
13 0 0 0 0 0 -1e-07 0 0 -1.66319e-11 
14 0 0 0 0 0 -1e-07 0 0 -1.78199e-11 
15 0 0 0 0 0 -1e-07 0 0 -1.90079e-11 
16 0 0 0 0 0 -1e-07 0 0 -2.01959e-11 
17 0 0 0 0 0 -1e-07 0 0 -2.13839e-11 
18 0 0 0 0 0 -1e-07 0 0 -2.25719e-11 
19 0 0 0 0 0 -1e-07 0 0 -2.37599e-11 
20 0 0 0 0 0 -1e-07 0 0 -2.49479e-11 
21 0 0 0 0 0 -1e-07 0 0 -2.61359e-11 
22 0 0 0 0 0 -1e-07 0 0 -2.73239e-11 
23 -1.00834e-11 -5.60689e-11 -0.0176043 0 0 -1e-07 0 0 -2.85119e-11 
24 6.07779e-11 -7.0168e-11 -0.0282701 0 0 -1e-07 0 0 -2.96999e-11 
25 -8.02223e-11 -9.5574e-11 -0.0245933 0 0 -1e-07 0 0 -3.08878e-11 
26 1.2582e-10 1.61625e-11 -0.0153909 0 0 -1e-07 0 0 -3.20758e-11 
27 -4.02255e-10 -5.25821e-11 -0.0600334 0 0 -1e-07 0 0 -3.32638e-11 
28 3.70724e-11 -1.59985e-10 -0.0255993 0 0 -1e-07 0 0 -3.44518e-11 
29 2.98017e-05 -2.69685e-05 -0.0283973 0 0 -1e-07 0 0 -3.56398e-11 
30 3.8969e-10 -1.42494e-10 -0.0640089 0 0 -1e-07 0 0 -3.68278e-11 
31 2.00876e-11 7.45775e-11 -0.0335348 0 0 -1e-07 0 0 -3.80158e-11 
32 -5.90383e-05 -0.000267727 -0.0898703 0 0 -1e-07 0 0 -3.92038e-11 
33 4.58158e-05 1.77811e-06 -0.0912279 0 0 -1e-07 0 0 -4.03918e-11 
34 -0.000199117 -0.00061456 -0.110767 0 0 -1e-07 0 0 -4.15798e-11 
35 -6.09111e-06 -0.000102336 -0.098984 0 0 -1e-07 0 0 -4.27678e-11 
36 0.00023653 6.49004e-05 -0.119419 0 0 -1e-07 0 0 -4.39558e-11 
37 0.00018555 -0.000421317 -0.113704 0 0 -1e-07 0 0 -4.51438e-11 
38 -3.23297e-06 -6.09738e-05 -0.0879643 0 0 -1e-07 0 0 -4.63318e-11 
39 -0.000318227 -0.000267355 -0.262112 0 0 -1e-07 0 0 -4.75198e-11 
40 0.000270305 -6.94195e-05 -0.163788 0 0 -1e-07 0 0 -4.87078e-11 
41 0.000267879 -0.000184916 -0.129487 0 0 -1e-07 0 0 -4.98958e-11 
42 -9.17201e-05 -1.96535e-05 -0.212321 0 0 -1e-07 0 0 -5.10837e-11 
43 -9.24119e-05 8.7802e-05 -0.150535 0 0 -1e-07 0 0 -5.22717e-11 
44 1.08202e-05 -0.000153592 -0.0754698 0 0 -1e-07 0 0 -5.34597e-11 
45 -0.000236872 -0.00137598 -0.171598 0 0 -1e-07 0 0 -5.46477e-11 
46 -6.98802e-05 -0.00036888 -0.225557 0 0 -1e-07 0 0 -5.58357e-11 
47 0.000499665 9.36109e-05 -0.362682 0 0 -1e-07 0 0 -5.70237e-11 
48 -0.000182844 0.000748247 -0.263649 0 0 -1e-07 0 0 -5.82117e-11 
49 -0.000175279 0.00012347 -0.269457 0 0 -1e-07 0 0 -5.93997e-11 
50 -7.35846e-05 -0.00016378 -0.36233 0 0 -1e-07 0 0 -6.05877e-11 
51 0.000497323 -0.000327676 -0.453477 0 0 -1e-07 0 0 -6.17757e-11 
52 -0.000479928 -0.00186642 -0.423592 0 0 -1e-07 0 0 -6.29637e-11 
53 2.09532e-05 0.000705233 -0.228608 0 0 -1e-07 0 0 -6.41517e-11 
54 0.000599919 -0.000713809 -0.30694 0 0 -1e-07 0 0 -6.53397e-11 
55 0.000506584 -0.000602229 -0.267143 0 0 -1e-07 0 0 -6.65277e-11 
56 -2.27763e-05 0.00117544 -0.206418 0 0 -1e-07 0 0 -6.77157e-11 
57 -0.000143795 -0.00108308 -0.390227 0 0 -1e-07 0 0 -6.89037e-11 
58 -0.00112292 -0.00188512 -0.407485 0 0 -1e-07 0 0 -7.00917e-11 
59 0.000527032 -0.000438979 -0.409222 0 0 -1e-07 0 0 -7.12796e-11 
60 0.000784422 -0.00115098 -0.313597 0 0 -1e-07 0 0 -7.24676e-11 
61 0.00158067 0.00152792 -0.371237 0 0 -1e-07 0 0 -7.36556e-11 
62 0.000924809 -2.9079e-05 -0.479556 0 0 -1e-07 0 0 -7.48436e-11 
63 0.00146953 -8.9766e-05 -0.455566 0 0 -1e-07 0 0 -7.60316e-11 
64 0.000702243 -0.0017953 -0.498242 0 0 -1e-07 0 0 -7.72196e-11 
65 -0.000173842 -0.000166959 -0.255993 0 0 -1e-07 0 0 -7.84076e-11 
66 -0.000527313 9.12324e-05 -0.360927 0 0 -1e-07 0 0 -7.95956e-11 
67 -4.35005e-05 -1.70434e-05 -0.235787 0 0 -1e-07 0 0 -8.07836e-11 
68 -0.000763574 -0.00183818 -0.393194 0 0 -1e-07 0 0 -8.19716e-11 
69 -0.00125443 0.000900857 -0.324658 0 0 -1e-07 0 0 -8.31596e-11 
70 0.00112669 -0.000990424 -0.422467 0 0 -1e-07 0 0 -8.43476e-11 
71 0.00155448 -0.000462591 -0.490737 0 0 -1e-07 0 0 -8.55356e-11 
72 -0.000806547 0.00173919 -0.476234 0 0 -1e-07 0 0 -8.67236e-11 
73 -0.000264211 -0.00195344 -0.408507 0 0 -1e-07 0 0 -8.79116e-11 
74 9.60072e-05 -0.000165932 -0.398579 0 0 -1e-07 0 0 -8.90996e-11 
75 0.000306477 -0.000826687 -0.304431 0 0 -1e-07 0 0 -9.02876e-11 
76 0.000888187 0.000128811 -0.344558 0 0 -1e-07 0 0 -9.14755e-11 
77 0.000461885 -0.000436861 -0.417141 0 0 -1e-07 0 0 -9.26635e-11 
78 -0.000605157 0.000726294 -0.484275 0 0 -1e-07 0 0 -9.38515e-11 
79 -0.000853098 -0.00184938 -0.363461 0 0 -1e-07 0 0 -9.50395e-11 
80 0.00232017 6.65329e-05 -0.426183 0 0 -1e-07 0 0 -9.62275e-11 
81 0.00387573 0.00121409 -0.37904 0 0 -1e-07 0 0 -9.74155e-11 
82 -0.000228483 -0.00127891 -0.336461 0 0 -1e-07 0 0 -9.86035e-11 
83 -0.000165904 0.00141875 -0.360589 0 0 -1e-07 0 0 -9.97915e-11 
